Id,SalePrice
1461,126064.893
1462,155411.985
1463,185907.374
1464,187743.684
1465,197967.399
1466,183196.391
1467,167995.887
1468,171836.987
1469,179686.895
1470,120022.135
1471,198832.409
1472,92907.621
1473,97465.803
1474,154144.517
1475,147889.955
1476,358822.415
1477,251258.475
1478,307260.691
1479,254107.349
1480,471903.009
1481,301969.832
1482,206488.1
1483,172824.511
1484,177354.716
1485,169605.306
1486,184130.135
1487,312018.362
1488,239576.135
1489,218119.243
1490,188492.239
1491,192077.857
1492,96149.025
1493,174511.653
1494,293754.091
1495,281716.061
1496,229083.136
1497,193712.874
1498,156725.977
1499,154814.472
1500,150076.034
1501,172575.82
1502,166699.756
1503,287894.016
1504,236745.583
1505,220757.909
1506,186994.175
1507,211174.445
1508,203530.034
1509,164461.311
1510,156028.881
1511,153461.986
1512,170497.092
1513,162446.084
1514,165958.735
1515,178548.526
1516,157229.012
1517,149176.655
1518,137156.717
1519,227126.081
1520,138265.65
1521,147728.382
1522,160235.904
1523,114241.032
1524,123056.35
1525,122743.197
1526,124167.999
1527,102883.465
1528,126153.259
1529,142804.286
1530,166641.925
1531,124992.378
1532,107392.311
1533,150771.689
1534,115417.243
1535,155681.518
1536,115251.486
1537,74027.478
1538,176091.106
1539,245346.135
1540,118097.219
1541,148274.991
1542,149418.345
1543,221148.572
1544,95314.709
1545,99863.586
1546,119282.603
1547,139654.761
1548,136706.324
1549,111088.251
1550,146528.891
1551,118407.713
1552,148520.596
1553,141609.688
1554,112109.501
1555,179528.433
1556,98743.477
1557,125883.823
1558,92896.153
1559,140675.732
1560,152378.435
1561,159365.263
1562,126985.064
1563,122648.671
1564,165068.305
1565,154224.791
1566,223373.385
1567,87517.099
1568,228120.57
1569,154481.451
1570,126557.055
1571,136855.374
1572,150976.255
1573,248404.028
1574,118327.697
1575,214945.256
1576,211205.758
1577,212871.712
1578,147278.254
1579,141245.991
1580,188584.012
1581,140635.365
1582,127513.47
1583,330876.151
1584,242613.7
1585,140700.7
1586,78031.168
1587,104480.683
1588,152698.763
1589,107891.223
1590,132569.955
1591,105491.939
1592,132266.991
1593,111896.485
1594,144417.383
1595,124691.134
1596,229134.199
1597,170479.908
1598,184773.265
1599,232077.165
1600,198077.994
1601,79808.461
1602,110167.441
1603,97001.424
1604,283980.899
1605,245295.476
1606,166938.446
1607,169328.429
1608,219897.63
1609,208078.092
1610,161229.217
1611,151415.045
1612,164721.849
1613,168637.296
1614,121612.731
1615,85515.337
1616,81349.498
1617,87782.586
1618,126834.543
1619,131433.571
1620,158551.419
1621,138883.174
1622,150275.237
1623,288602.332
1624,206073.728
1625,126789.905
1626,171956.92
1627,188013.1
1628,273799.946
1629,175047.621
1630,367028.566
1631,220748.098
1632,246267.093
1633,166214.697
1634,181718.405
1635,179530.004
1636,162755.522
1637,182518.439
1638,217872.152
1639,177100.852
1640,249439.436
1641,183567.668
1642,222472.684
1643,230422.199
1644,227872.53
1645,179692.281
1646,151836.94
1647,161355.93
1648,146123.564
1649,137845.07
1650,120988.641
1651,123541.843
1652,95178.0
1653,96571.257
1654,157462.81
1655,160879.658
1656,152692.257
1657,156718.672
1658,153940.547
1659,150508.331
1660,141727.565
1661,463545.953
1662,366668.638
1663,375155.511
1664,480744.57
1665,321393.07
1666,324109.587
1667,333685.448
1668,333923.575
1669,288086.476
1670,342655.649
1671,267889.502
1672,487999.93
1673,302894.917
1674,251160.495
1675,186031.123
1676,189897.163
1677,214219.314
1678,495408.681
1679,370223.09
1680,320057.602
1681,279962.562
1682,296739.148
1683,188797.892
1684,168955.268
1685,172357.128
1686,167947.254
1687,164892.861
1688,181784.421
1689,188404.414
1690,185422.183
1691,172174.077
1692,249537.39
1693,167365.92
1694,181191.132
1695,171201.647
1696,254728.184
1697,172708.063
1698,326811.567
1699,321189.044
1700,243192.063
1701,259072.872
1702,256447.298
1703,255478.272
1704,296521.557
1705,231911.296
1706,470295.377
1707,221005.49
1708,223250.551
1709,282248.978
1710,227090.982
1711,248610.452
1712,245906.169
1713,257486.972
1714,226303.222
1715,199786.082
1716,179875.765
1717,165658.354
1718,139176.929
1719,197121.921
1720,247716.648
1721,168944.233
1722,121357.691
1723,155414.507
1724,216388.958
1725,231349.397
1726,179715.78
1727,172401.349
1728,188986.775
1729,162747.208
1730,159108.779
1731,121856.569
1732,129703.049
1733,124167.888
1734,129433.762
1735,129543.16
1736,116051.982
1737,361576.273
1738,210032.46
1739,271230.405
1740,182645.853
1741,180888.417
1742,172117.102
1743,173373.819
1744,324118.019
1745,248317.018
1746,258039.273
1747,222533.383
1748,195764.348
1749,162794.228
1750,152482.799
1751,233938.909
1752,122802.76
1753,152872.375
1754,215933.251
1755,167054.084
1756,122842.342
1757,120771.576
1758,149400.214
1759,172773.138
1760,163569.611
1761,152531.785
1762,187437.055
1763,163557.368
1764,114722.149
1765,172489.574
1766,165836.917
1767,190356.402
1768,140491.26
1769,169069.117
1770,136692.965
1771,138680.229
1772,141312.351
1773,143119.968
1774,134445.449
1775,132746.7
1776,118753.571
1777,117670.542
1778,127223.256
1779,113310.312
1780,177863.336
1781,139533.793
1782,102367.557
1783,127895.374
1784,95264.95
1785,121424.571
1786,146039.344
1787,169126.624
1788,71981.947
1789,102470.451
1790,89438.35
1791,165095.91
1792,154117.653
1793,134297.251
1794,139878.041
1795,136933.258
1796,117917.825
1797,118941.95
1798,124399.126
1799,116441.534
1800,118268.989
1801,129938.569
1802,150842.928
1803,155978.796
1804,138744.678
1805,131528.375
1806,114348.117
1807,144190.205
1808,121021.05
1809,125678.298
1810,144291.206
1811,124543.859
1812,116443.029
1813,121842.646
1814,102369.688
1815,70965.461
1816,99897.809
1817,124513.024
1818,129303.733
1819,113140.014
1820,83383.443
1821,123577.629
1822,144114.696
1823,67266.955
1824,135898.558
1825,142449.304
1826,98666.135
1827,106381.142
1828,138481.633
1829,120494.763
1830,141130.125
1831,178741.514
1832,120696.097
1833,148533.703
1834,132117.41
1835,190509.967
1836,130706.324
1837,105818.225
1838,138192.373
1839,91399.986
1840,161270.278
1841,149347.501
1842,88683.452
1843,141970.211
1844,135194.388
1845,140574.365
1846,150227.228
1847,155195.641
1848,70841.945
1849,124959.568
1850,130716.498
1851,153925.246
1852,127429.97
1853,134278.687
1854,178038.153
1855,142500.184
1856,224374.635
1857,158861.388
1858,144489.272
1859,124566.418
1860,155318.065
1861,124523.81
1862,264528.449
1863,261800.561
1864,261818.561
1865,323242.468
1866,322983.499
1867,240511.57
1868,310135.018
1869,194521.375
1870,243081.023
1871,248515.117
1872,172816.714
1873,224798.149
1874,137959.465
1875,212500.27
1876,194023.17
1877,209307.304
1878,214537.413
1879,132216.42
1880,134845.414
1881,245055.264
1882,254721.467
1883,195053.708
1884,219726.52
1885,252530.156
1886,300218.869
1887,202853.252
1888,275612.925
1889,167185.844
1890,136028.386
1891,140930.163
1892,111351.712
1893,139039.286
1894,136255.565
1895,151551.081
1896,123176.39
1897,114862.599
1898,105599.87
1899,122428.555
